,Compound_Name,EPA-ACC_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
133,Lignin,DamNrmStorM3Cat,0.18750145200057095,0.18750145200057095,0.17456368559884938,0.17456368559884938
134,Lipid,DamNrmStorM3Cat,0.15744769812965673,0.15744769812965673,0.2555231344873155,0.2555231344873155
135,Other,DamNrmStorM3Cat,0.07767623251796493,0.07767623251796493,0.5766464111967597,0.5766464111967597
136,Protein,DamNrmStorM3Cat,0.14156046623977317,0.14156046623977317,0.3072234978315351,0.3072234978315351
137,Tannin,DamNrmStorM3Cat,0.08762495413966329,0.08762495413966329,0.5286577807814198,0.5286577807814198
138,UnsatHC,DamNrmStorM3Cat,0.11772105995403129,0.11772105995403129,0.3965597470496657,0.3965597470496657
139,SumAllCompounds,DamNrmStorM3Cat,0.15457218221121088,0.15457218221121088,0.26441604049129336,0.26441604049129336
140,AminoSugar,ElevCat,-0.37665611927980597,-0.37665611927980597,0.00499618388636121,0.00499618388636121
141,Carb,ElevCat,-0.3468329666830551,-0.3468329666830551,0.010188888328979118,0.010188888328979118
142,ConcHC,ElevCat,-0.15358661845722676,-0.15358661845722676,0.26751111447115455,0.26751111447115455
143,Lignin,ElevCat,-0.24682295620679845,-0.24682295620679845,0.07197409202292421,0.07197409202292421
144,Lipid,ElevCat,-0.3524862224238755,-0.3524862224238755,0.008945907537318644,0.008945907537318644
145,Other,ElevCat,-0.06150310590819741,-0.06150310590819741,0.6586360062775896,0.6586360062775896
146,Protein,ElevCat,-0.37108698171608007,-0.37108698171608007,0.005735964281900957,0.005735964281900957
147,Tannin,ElevCat,-0.10842785992319336,-0.10842785992319336,0.4351318854615185,0.4351318854615185
148,UnsatHC,ElevCat,0.160475409164598,0.160475409164598,0.246380057609249,0.246380057609249
149,SumAllCompounds,ElevCat,-0.28388421046999956,-0.28388421046999956,0.03749683011744507,0.03749683011744507
150,AminoSugar,NPDESDensCat,0.1841058389117493,0.1841058389117493,0.18264213881120872,0.18264213881120872
151,Carb,NPDESDensCat,0.08895963593897054,0.08895963593897054,0.5223734342868913,0.5223734342868913
152,ConcHC,NPDESDensCat,0.1469581296453216,0.1469581296453216,0.28895401614891536,0.28895401614891536
153,Lignin,NPDESDensCat,0.24159516649139623,0.24159516649139623,0.07840988078453087,0.07840988078453087
154,Lipid,NPDESDensCat,0.10271643039781726,0.10271643039781726,0.45984315908733586,0.45984315908733586
155,Other,NPDESDensCat,-0.024579271152962483,-0.024579271152962483,0.8599637554534668,0.8599637554534668
156,Protein,NPDESDensCat,0.13757143830849794,0.13757143830849794,0.32119189610106913,0.32119189610106913
157,Tannin,NPDESDensCat,0.21616654843985475,0.21616654843985475,0.11642675554637005,0.11642675554637005
158,UnsatHC,NPDESDensCat,0.13310934226583354,0.13310934226583354,0.33728620854906455,0.33728620854906455
159,SumAllCompounds,NPDESDensCat,0.22885896305237238,0.22885896305237238,0.09599550810612809,0.09599550810612809
160,AminoSugar,SuperfundDensCat,,,,
161,Carb,SuperfundDensCat,,,,
162,ConcHC,SuperfundDensCat,,,,
163,Lignin,SuperfundDensCat,,,,
164,Lipid,SuperfundDensCat,,,,
165,Other,SuperfundDensCat,,,,
166,Protein,SuperfundDensCat,,,,
167,Tannin,SuperfundDensCat,,,,
168,UnsatHC,SuperfundDensCat,,,,
169,SumAllCompounds,SuperfundDensCat,,,,
170,AminoSugar,TRIDensCat,0.10478266495987326,0.10478266495987326,0.4508164421124551,0.4508164421124551
171,Carb,TRIDensCat,0.09325414248853169,0.09325414248853169,0.5024088694708156,0.5024088694708156
172,ConcHC,TRIDensCat,-0.0798925020820749,-0.0798925020820749,0.5657853577833718,0.5657853577833718
173,Lignin,TRIDensCat,0.2958378600247103,0.2958378600247103,0.02985862992966367,0.02985862992966367
174,Lipid,TRIDensCat,0.14723221220900953,0.14723221220900953,0.28804570229073273,0.28804570229073273
175,Other,TRIDensCat,0.13226356472508516,0.13226356472508516,0.3403925977591703,0.3403925977591703
176,Protein,TRIDensCat,0.22183660201250952,0.22183660201250952,0.1069240994455446,0.1069240994455446
177,Tannin,TRIDensCat,-0.0959608818845328,-0.0959608818845328,0.49003004684045237,0.49003004684045237
178,UnsatHC,TRIDensCat,0.10847473560334313,0.10847473560334313,0.4349322012636228,0.4349322012636228
179,SumAllCompounds,TRIDensCat,0.1627009831170199,0.1627009831170199,0.23980292478243584,0.23980292478243584
180,AminoSugar,PctFire2000Cat,,,,
181,Carb,PctFire2000Cat,,,,
182,ConcHC,PctFire2000Cat,,,,
183,Lignin,PctFire2000Cat,,,,
184,Lipid,PctFire2000Cat,,,,
185,Other,PctFire2000Cat,,,,
186,Protein,PctFire2000Cat,,,,
187,Tannin,PctFire2000Cat,,,,
188,UnsatHC,PctFire2000Cat,,,,
189,SumAllCompounds,PctFire2000Cat,,,,
190,AminoSugar,PctFire2001Cat,,,,
191,Carb,PctFire2001Cat,,,,
192,ConcHC,PctFire2001Cat,,,,
193,Lignin,PctFire2001Cat,,,,
194,Lipid,PctFire2001Cat,,,,
195,Other,PctFire2001Cat,,,,
196,Protein,PctFire2001Cat,,,,
197,Tannin,PctFire2001Cat,,,,
198,UnsatHC,PctFire2001Cat,,,,
199,SumAllCompounds,PctFire2001Cat,,,,
200,AminoSugar,PctFire2002Cat,,,,
201,Carb,PctFire2002Cat,,,,
202,ConcHC,PctFire2002Cat,,,,
203,Lignin,PctFire2002Cat,,,,
204,Lipid,PctFire2002Cat,,,,
205,Other,PctFire2002Cat,,,,
206,Protein,PctFire2002Cat,,,,
207,Tannin,PctFire2002Cat,,,,
208,UnsatHC,PctFire2002Cat,,,,
209,SumAllCompounds,PctFire2002Cat,,,,
210,AminoSugar,PctFire2003Cat,-0.040827678066016816,-0.040827678066016816,0.7694281209929867,0.7694281209929867
211,Carb,PctFire2003Cat,0.00993712688996097,0.00993712688996097,0.9431464647871127,0.9431464647871127
212,ConcHC,PctFire2003Cat,0.18208528283162317,0.18208528283162317,0.18757506230826673,0.18757506230826673
213,Lignin,PctFire2003Cat,0.06850725994230626,0.06850725994230626,0.6225617637298155,0.6225617637298155
214,Lipid,PctFire2003Cat,-0.10187935101587704,-0.10187935101587704,0.46352784765823685,0.46352784765823685
215,Other,PctFire2003Cat,-0.01723346623249713,-0.01723346623249713,0.9015642936315575,0.9015642936315575
216,Protein,PctFire2003Cat,-0.09281985381824175,-0.09281985381824175,0.504409851318435,0.504409851318435
217,Tannin,PctFire2003Cat,0.1908964023694102,0.1908964023694102,0.16674891237679057,0.16674891237679057
218,UnsatHC,PctFire2003Cat,0.15490568948668876,0.15490568948668876,0.26337414037223394,0.26337414037223394
219,SumAllCompounds,PctFire2003Cat,0.0818795811456178,0.0818795811456178,0.5561293334846786,0.5561293334846786
220,AminoSugar,PctFire2004Cat,-0.08521750254047811,-0.08521750254047811,0.5400869367928206,0.5400869367928206
221,Carb,PctFire2004Cat,-0.08762739166601953,-0.08762739166601953,0.5286462697315073,0.5286462697315073
222,ConcHC,PctFire2004Cat,-0.04086434574528662,-0.04086434574528662,0.7692267449439525,0.7692267449439525
223,Lignin,PctFire2004Cat,-0.18002171205012507,-0.18002171205012507,0.19271080596203358,0.19271080596203358
224,Lipid,PctFire2004Cat,-0.1578537618937863,-0.1578537618937863,0.254283790046988,0.254283790046988
225,Other,PctFire2004Cat,-0.2033549015434661,-0.2033549015434661,0.14025537406225425,0.14025537406225425
226,Protein,PctFire2004Cat,-0.14591595663799864,-0.14591595663799864,0.29242488352141605,0.29242488352141605
227,Tannin,PctFire2004Cat,-0.006007542958548846,-0.006007542958548846,0.9656109490246434,0.9656109490246434
228,UnsatHC,PctFire2004Cat,-0.1046948797910034,-0.1046948797910034,0.451197955139403,0.451197955139403
229,SumAllCompounds,PctFire2004Cat,-0.13707687613779204,-0.13707687613779204,0.32295132734589205,0.32295132734589205
230,AminoSugar,PctFire2005Cat,,,,
231,Carb,PctFire2005Cat,,,,
232,ConcHC,PctFire2005Cat,,,,
233,Lignin,PctFire2005Cat,,,,
234,Lipid,PctFire2005Cat,,,,
235,Other,PctFire2005Cat,,,,
236,Protein,PctFire2005Cat,,,,
237,Tannin,PctFire2005Cat,,,,
238,UnsatHC,PctFire2005Cat,,,,
239,SumAllCompounds,PctFire2005Cat,,,,
240,AminoSugar,PctFire2006Cat,,,,
241,Carb,PctFire2006Cat,,,,
242,ConcHC,PctFire2006Cat,,,,
243,Lignin,PctFire2006Cat,,,,
244,Lipid,PctFire2006Cat,,,,
245,Other,PctFire2006Cat,,,,
246,Protein,PctFire2006Cat,,,,
247,Tannin,PctFire2006Cat,,,,
248,UnsatHC,PctFire2006Cat,,,,
249,SumAllCompounds,PctFire2006Cat,,,,
250,AminoSugar,PctFire2007Cat,-0.030963272627247667,-0.030963272627247667,0.824110016650129,0.824110016650129
251,Carb,PctFire2007Cat,-0.04697550893436097,-0.04697550893436097,0.7358853756432311,0.7358853756432311
252,ConcHC,PctFire2007Cat,-0.02682027465382773,-0.02682027465382773,0.8473420332169296,0.8473420332169296
253,Lignin,PctFire2007Cat,-0.016424209478076435,-0.016424209478076435,0.9061654215692161,0.9061654215692161
254,Lipid,PctFire2007Cat,-0.11787203983813681,-0.11787203983813681,0.39595012466416435,0.39595012466416435
255,Other,PctFire2007Cat,-0.20335490154346608,-0.20335490154346608,0.14025537406225425,0.14025537406225425
256,Protein,PctFire2007Cat,-0.06450193231437137,-0.06450193231437137,0.6430900818228177,0.6430900818228177
257,Tannin,PctFire2007Cat,0.00044832410138423884,0.00044832410138423884,0.9974328853394006,0.9974328853394006
258,UnsatHC,PctFire2007Cat,-0.07585037209348207,-0.07585037209348207,0.5856652770676012,0.5856652770676012
259,SumAllCompounds,PctFire2007Cat,-0.03519905627918923,-0.03519905627918923,0.8005115451174932,0.8005115451174932
260,AminoSugar,PctFire2008Cat,,,,
261,Carb,PctFire2008Cat,,,,
262,ConcHC,PctFire2008Cat,,,,
263,Lignin,PctFire2008Cat,,,,
264,Lipid,PctFire2008Cat,,,,
265,Other,PctFire2008Cat,,,,
266,Protein,PctFire2008Cat,,,,
267,Tannin,PctFire2008Cat,,,,
268,UnsatHC,PctFire2008Cat,,,,
269,SumAllCompounds,PctFire2008Cat,,,,
270,AminoSugar,PctFire2009Cat,,,,
271,Carb,PctFire2009Cat,,,,
272,ConcHC,PctFire2009Cat,,,,
273,Lignin,PctFire2009Cat,,,,
274,Lipid,PctFire2009Cat,,,,
275,Other,PctFire2009Cat,,,,
276,Protein,PctFire2009Cat,,,,
277,Tannin,PctFire2009Cat,,,,
278,UnsatHC,PctFire2009Cat,,,,
279,SumAllCompounds,PctFire2009Cat,,,,
280,AminoSugar,PctFire2010Cat,,,,
281,Carb,PctFire2010Cat,,,,
282,ConcHC,PctFire2010Cat,,,,
283,Lignin,PctFire2010Cat,,,,
284,Lipid,PctFire2010Cat,,,,
285,Other,PctFire2010Cat,,,,
286,Protein,PctFire2010Cat,,,,
287,Tannin,PctFire2010Cat,,,,
288,UnsatHC,PctFire2010Cat,,,,
289,SumAllCompounds,PctFire2010Cat,,,,
290,AminoSugar,PctFrstLoss2001Cat,0.18137738661139824,0.18137738661139824,0.18932567713551893,0.18932567713551893
291,Carb,PctFrstLoss2001Cat,0.10065859906475134,0.10065859906475134,0.46892990407359664,0.46892990407359664
292,ConcHC,PctFrstLoss2001Cat,0.23582669031486436,0.23582669031486436,0.08603005309830239,0.08603005309830239
293,Lignin,PctFrstLoss2001Cat,0.1989364465707178,0.1989364465707178,0.1492653786047528,0.1492653786047528
294,Lipid,PctFrstLoss2001Cat,0.15183213549989627,0.15183213549989627,0.27308052371771563,0.27308052371771563
295,Other,PctFrstLoss2001Cat,0.26930889058822055,0.26930889058822055,0.048924217510572514,0.048924217510572514
296,Protein,PctFrstLoss2001Cat,0.1601530189838387,0.1601530189838387,0.2473428797980029,0.2473428797980029
297,Tannin,PctFrstLoss2001Cat,0.34856940533239505,0.34856940533239505,0.009792121168901026,0.009792121168901026
298,UnsatHC,PctFrstLoss2001Cat,0.42282760313183093,0.42282760313183093,0.0014461851963912865,0.0014461851963912865
299,SumAllCompounds,PctFrstLoss2001Cat,0.26363591833723177,0.26363591833723177,0.05407713168210726,0.05407713168210726
