,Compound_Name,EPA-ACW_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
617,Tannin,PctColluvSedWs,-0.1989119310198871,-0.1989119310198871,0.149316538433139,0.149316538433139
618,UnsatHC,PctColluvSedWs,-0.07946249698475512,-0.07946249698475512,0.5678851661595272,0.5678851661595272
619,SumAllCompounds,PctColluvSedWs,0.017226162197193688,0.017226162197193688,0.9016058074905405,0.9016058074905405
620,AminoSugar,PctEolCrsWs,-0.04509576585303284,-0.04509576585303284,0.7460927800095829,0.7460927800095829
621,Carb,PctEolCrsWs,-0.07157070161726103,-0.07157070161726103,0.6070498419692157,0.6070498419692157
622,ConcHC,PctEolCrsWs,0.05817506962320649,0.05817506962320649,0.6760575539158898,0.6760575539158898
623,Lignin,PctEolCrsWs,-0.008894721694724652,-0.008894721694724652,0.9491020829191048,0.9491020829191048
624,Lipid,PctEolCrsWs,-0.09366967137574338,-0.09366967137574338,0.5004981455523579,0.5004981455523579
625,Other,PctEolCrsWs,-0.1104569164086313,-0.1104569164086313,0.42653550080980546,0.42653550080980546
626,Protein,PctEolCrsWs,-0.07286276534081045,-0.07286276534081045,0.6005580498240695,0.6005580498240695
627,Tannin,PctEolCrsWs,0.06450629404316405,0.06450629404316405,0.6430675786776969,0.6430675786776969
628,UnsatHC,PctEolCrsWs,-0.016576331320421057,-0.016576331320421057,0.9053002762799923,0.9053002762799923
629,SumAllCompounds,PctEolCrsWs,-0.004349295365625765,-0.004349295365625765,0.9750997129819917,0.9750997129819917
630,AminoSugar,PctEolFineWs,0.14689234679045432,0.14689234679045432,0.2891723000477776,0.2891723000477776
631,Carb,PctEolFineWs,0.18248136430262585,0.18248136430262585,0.18660063601538135,0.18660063601538135
632,ConcHC,PctEolFineWs,0.01396090382528594,0.01396090382528594,0.9201890521467808,0.9201890521467808
633,Lignin,PctEolFineWs,0.1859669720743677,0.1859669720743677,0.17818166327407609,0.17818166327407609
634,Lipid,PctEolFineWs,0.1240760639582825,0.1240760639582825,0.3713776659995614,0.3713776659995614
635,Other,PctEolFineWs,0.11782629687164017,0.11782629687164017,0.39613476629667244,0.39613476629667244
636,Protein,PctEolFineWs,0.14555937156782123,0.14555937156782123,0.2936186744950533,0.2936186744950533
637,Tannin,PctEolFineWs,0.08096106325435044,0.08096106325435044,0.560583074900401,0.560583074900401
638,UnsatHC,PctEolFineWs,-0.08590235786838125,-0.08590235786838125,0.5368234731091948,0.5368234731091948
639,SumAllCompounds,PctEolFineWs,0.15355687067970805,0.15355687067970805,0.2676049089975438,0.2676049089975438
640,AminoSugar,PctExtruVolWs,-0.030769258944896766,-0.030769258944896766,0.8251947855062023,0.8251947855062023
641,Carb,PctExtruVolWs,-0.04242225460711899,-0.04242225460711899,0.7606849499683662,0.7606849499683662
642,ConcHC,PctExtruVolWs,-0.09275168252604765,-0.09275168252604765,0.5047243201118716,0.5047243201118716
643,Lignin,PctExtruVolWs,-0.21184528177723402,-0.21184528177723402,0.1240913657284197,0.1240913657284197
644,Lipid,PctExtruVolWs,-0.11791503343156376,-0.11791503343156376,0.39577662689772436,0.39577662689772436
645,Other,PctExtruVolWs,-0.1981754768634576,-0.1981754768634576,0.15085945739547238,0.15085945739547238
646,Protein,PctExtruVolWs,-0.07052326262881743,-0.07052326262881743,0.6123347652019846,0.6123347652019846
647,Tannin,PctExtruVolWs,-0.0606267137217989,-0.0606267137217989,0.6632067817662679,0.6632067817662679
648,UnsatHC,PctExtruVolWs,-0.14509353126966146,-0.14509353126966146,0.29518300970547107,0.29518300970547107
649,SumAllCompounds,PctExtruVolWs,-0.15202182458991673,-0.15202182458991673,0.27247469312619194,0.27247469312619194
650,AminoSugar,PctGlacLakeCrsWs,0.1447463056348687,0.1447463056348687,0.2963525446841736,0.2963525446841736
651,Carb,PctGlacLakeCrsWs,0.09484854020123384,0.09484854020123384,0.49509779050010727,0.49509779050010727
652,ConcHC,PctGlacLakeCrsWs,0.24807151380346992,0.24807151380346992,0.07050095141075156,0.07050095141075156
653,Lignin,PctGlacLakeCrsWs,0.19077938768376046,0.19077938768376046,0.16701394469522607,0.16701394469522607
654,Lipid,PctGlacLakeCrsWs,0.004119655889000003,0.004119655889000003,0.9764140469306077,0.9764140469306077
