,Compound_Name,HYDROSHEDS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
1589,SumAllCompounds,glc_pc_u09,0.0030784286388206286,0.0030784286388206286,0.982374205517289,0.982374205517289
1590,AminoSugar,glc_pc_u10,,,,
1591,Carb,glc_pc_u10,,,,
1592,ConcHC,glc_pc_u10,,,,
1593,Lignin,glc_pc_u10,,,,
1594,Lipid,glc_pc_u10,,,,
1595,Other,glc_pc_u10,,,,
1596,Protein,glc_pc_u10,,,,
1597,Tannin,glc_pc_u10,,,,
1598,UnsatHC,glc_pc_u10,,,,
1599,SumAllCompounds,glc_pc_u10,,,,
1600,AminoSugar,glc_pc_u11,0.19098584974505858,0.19098584974505858,0.1665465256727043,0.1665465256727043
1601,Carb,glc_pc_u11,0.1562839047239317,0.1562839047239317,0.2590976918197424,0.2590976918197424
1602,ConcHC,glc_pc_u11,-0.13917284338549882,-0.13917284338549882,0.31553660785444326,0.31553660785444326
1603,Lignin,glc_pc_u11,0.11236531382332354,0.11236531382332354,0.41853878411079304,0.41853878411079304
1604,Lipid,glc_pc_u11,0.2979378695406172,0.2979378695406172,0.02866115453078679,0.02866115453078679
1605,Other,glc_pc_u11,0.2154183279062141,0.2154183279062141,0.11772736179083904,0.11772736179083904
1606,Protein,glc_pc_u11,0.19035936122046185,0.19035936122046185,0.16796781465721816,0.16796781465721816
1607,Tannin,glc_pc_u11,-0.06572431326292986,-0.06572431326292986,0.6367960435403264,0.6367960435403264
1608,UnsatHC,glc_pc_u11,-0.10469487979100342,-0.10469487979100342,0.451197955139403,0.451197955139403
1609,SumAllCompounds,glc_pc_u11,0.07929220794285964,0.07929220794285964,0.5687177241403958,0.5687177241403958
1610,AminoSugar,glc_pc_u12,-0.25856475502204557,-0.25856475502204557,0.05904765337864788,0.05904765337864788
1611,Carb,glc_pc_u12,-0.21933898516949452,-0.21933898516949452,0.11103364683375977,0.11103364683375977
1612,ConcHC,glc_pc_u12,-0.02132775268907871,-0.02132775268907871,0.8783379769017472,0.8783379769017472
1613,Lignin,glc_pc_u12,-0.2403276492691467,-0.2403276492691467,0.08003679304003489,0.08003679304003489
1614,Lipid,glc_pc_u12,-0.32752844239540063,-0.32752844239540063,0.015622664251398126,0.015622664251398126
1615,Other,glc_pc_u12,-0.34992743099420087,-0.34992743099420087,0.009491200923738747,0.009491200923738747
1616,Protein,glc_pc_u12,-0.3080003296626287,-0.3080003296626287,0.02346598110812271,0.02346598110812271
1617,Tannin,glc_pc_u12,-0.022324972366140436,-0.022324972366140436,0.8726954934342013,0.8726954934342013
1618,UnsatHC,glc_pc_u12,-0.003116867764022521,-0.003116867764022521,0.982154154581239,0.982154154581239
1619,SumAllCompounds,glc_pc_u12,-0.21773217674338355,-0.21773217674338355,0.11374076403175234,0.11374076403175234
1620,AminoSugar,glc_pc_u13,-0.0747452179691446,-0.0747452179691446,0.5911548955258742,0.5911548955258742
1621,Carb,glc_pc_u13,-0.09884803292763357,-0.09884803292763357,0.47700387187458926,0.47700387187458926
1622,ConcHC,glc_pc_u13,0.01686542552175773,0.01686542552175773,0.9036564451387229,0.9036564451387229
